row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
146,fixed:rand/1,6,1,5,21,4525342147739289530,0.438457962901289,2500,50,1.2423656249884516
147,fixed:rand/1,6,1,5,22,7160610209221808056,0.26527408114855433,2500,50,1.054751874995418
148,fixed:rand/1,6,1,5,23,10008390441826079514,0.08805461931711989,2500,50,1.147832082991954
149,fixed:rand/1,6,1,5,24,818027889759360041,0.2544017535127807,2500,50,1.0783517910167575
150,fixed:rand/1,7,1,5,0,10478545376379631977,0.02495324170860158,2500,50,1.0400183749734424
151,fixed:rand/1,7,1,5,1,17109652067107455087,0.0801053160823102,2500,50,1.4961021250346676
152,fixed:rand/1,7,1,5,2,13059555274639007218,0.009011210943626224,2500,50,1.3024752089986578
153,fixed:rand/1,7,1,5,3,15228456302095159440,0.020431197168548465,2500,50,1.0592482500360347
154,fixed:rand/1,7,1,5,4,3356221468241897078,0.04179769376743536,2500,50,1.1893910419894382
155,fixed:rand/1,7,1,5,5,14316315644004713164,0.038447471999845106,2500,50,0.8749506659805775
156,fixed:rand/1,7,1,5,6,12185033519575180466,0.03450597752437545,2500,50,1.0499515410047024
157,fixed:rand/1,7,1,5,7,10653669742183470624,0.05420107230020221,2500,50,1.0704124170006253
158,fixed:rand/1,7,1,5,8,17515945116961013650,0.13084163193875042,2500,50,1.0558120410423726
159,fixed:rand/1,7,1,5,9,3508042370669448404,0.007299341377603241,2500,50,1.4760124589665793
160,fixed:rand/1,7,1,5,10,2890401251493027514,0.007299341377603241,2500,50,1.2067696250160225
161,fixed:rand/1,7,1,5,11,2381837312862047109,0.03370345394860408,2500,50,1.0335057500051335
162,fixed:rand/1,7,1,5,12,5978885165281636034,0.02092690865475788,2500,50,0.8866342080291361
163,fixed:rand/1,7,1,5,13,311441784138204626,0.030801712223791355,2500,50,1.013989208964631
164,fixed:rand/1,7,1,5,14,9434586587833226941,0.04883758945580041,2500,50,1.0466676659998484
165,fixed:rand/1,7,1,5,15,10169029947768275530,0.0441879831721792,2500,50,1.0858938330202363
166,fixed:rand/1,7,1,5,16,6013414000587119613,0.017820838403281414,2500,50,0.9918794999830425
167,fixed:rand/1,7,1,5,17,10070831342057808094,0.024831290466821088,2500,50,1.377334457996767
168,fixed:rand/1,7,1,5,18,14044638761180950333,0.02487870677144599,2500,50,1.1295711669954471
169,fixed:rand/1,7,1,5,19,294520355045924774,0.007299341377603241,2500,50,1.2123996670125052
170,fixed:rand/1,7,1,5,20,6262983699116796148,0.04459655472732038,2500,50,1.0597713750321418
171,fixed:rand/1,7,1,5,21,5301895707666612596,0.011690071620165554,2500,50,1.016931584046688
172,fixed:rand/1,7,1,5,22,3438063168749338960,0.025561149737100664,2500,50,1.0884759580367245
